Date : 2019-10-22 10:39:46
Directory : d:\Personal\flexi-cad
Total : 58 files,  19036 codes, 205 comments, 738 blanks, all 19979 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ui\electron\native\src\dimension.rs                       | Rust       |        115 |          0 |         12 |        127 |
| ui\electron\native\src\door.rs                            | Rust       |        145 |          0 |         15 |        160 |
| ui\electron\native\src\lib.rs                             | Rust       |        411 |          0 |         39 |        450 |
| ui\electron\native\src\math.rs                            | Rust       |         12 |          0 |          1 |         13 |
| ui\electron\native\src\wall.rs                            | Rust       |        135 |          0 |         14 |        149 |
| ui\electron\package-lock.json                             | JSON       |      4,866 |          0 |          1 |      4,867 |
| ui\electron\package.json                                  | JSON       |         28 |          0 |          0 |         28 |
| ui\electron\tsconfig.json                                 | JSON       |         25 |          0 |          0 |         25 |
| ui\src\operations\operations.ts                           | TypeScript |        419 |          0 |         49 |        468 |
| ui\src\rendering\renderer.ts                              | TypeScript |        193 |          5 |         17 |        215 |
| ui\src\ui\controller.ts                                   | TypeScript |        285 |          1 |         29 |        315 |
| ui\src\ui\gui.ts                                          | TypeScript |        179 |          0 |          9 |        188 |
| ui\src\ui\mouse_events.ts                                 | TypeScript |         41 |          1 |          6 |         48 |
| ui\src\ui\tools\dimension_tool.ts                         | TypeScript |         90 |          1 |         10 |        101 |
| ui\src\ui\tools\door_tool.ts                              | TypeScript |         81 |          3 |         10 |         94 |
| ui\src\ui\tools\wall_tool.ts                              | TypeScript |         74 |          1 |         10 |         85 |
| ui\src\utils\math.ts                                      | TypeScript |         38 |          0 |          6 |         44 |
| Total                                                     |            |     19,036 |        205 |        738 |     19,979 |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
